prev_norm,m,curr_norm,converged
0.01531931050501881,12,0.011249692477508818,0
0.011249692477508818,7,0.011027305387701357,0
0.011027305387701357,13,0.00844104667977963,0
0.00844104667977963,8,0.006628146497200185,0
0.006628146497200185,15,0.0061377067018198,0
0.0061377067018198,5,0.005994636724155399,0
0.005994636724155399,18,0.004973396067303026,0
0.004973396067303026,10,0.004251368986055699,0
0.004251368986055699,15,0.003818040462277395,0
0.003818040462277395,17,0.003416909848847894,0
0.003416909848847894,19,0.002498728642693201,0
0.002498728642693201,5,0.0020779459877047534,0
0.0020779459877047534,6,0.0019443678694425512,0
0.0019443678694425512,5,0.0019074694174215526,0
0.0019074694174215526,5,0.0018850613309530514,0
0.0018850613309530514,12,0.001734191645290803,0
0.001734191645290803,19,0.00135626247487207,0
0.00135626247487207,19,0.0011067329617063244,0
0.0011067329617063244,11,0.0010376335881076286,0
0.0010376335881076286,13,0.000978545195408768,0
0.000978545195408768,17,0.0008802780270154034,0
0.0008802780270154034,18,0.0008008350467905367,0
0.0008008350467905367,4,0.0007914796195592293,0
0.0007914796195592293,11,0.0007400325131613181,0
0.0007400325131613181,16,0.0006870557462576524,0
0.0006870557462576524,6,0.0006717846600071176,0
0.0006717846600071176,9,0.0006526956853267008,0
0.0006526956853267008,19,0.00018922396324293157,0
0.00018922396324293157,19,5.6345462247430955e-05,0
5.6345462247430955e-05,18,5.050265414290191e-05,0
5.050265414290191e-05,16,4.717926643152695e-05,0
4.717926643152695e-05,6,4.5975537845533484e-05,0
4.5975537845533484e-05,7,4.5046562809954926e-05,0
4.5046562809954926e-05,11,4.206819083144193e-05,0
4.206819083144193e-05,11,3.9467406602921756e-05,0
3.9467406602921756e-05,10,3.772466511921951e-05,0
3.772466511921951e-05,13,3.460873375120704e-05,0
3.460873375120704e-05,8,3.305766647647391e-05,0
3.305766647647391e-05,15,2.5130636811537728e-05,0
2.5130636811537728e-05,7,2.015876068815848e-05,0
2.015876068815848e-05,7,1.910572751463461e-05,0
1.910572751463461e-05,3,1.8983579096325642e-05,0
1.8983579096325642e-05,4,1.884175987994747e-05,0
1.884175987994747e-05,17,5.095537899451176e-06,0
5.095537899451176e-06,9,1.7166287606783766e-06,0
1.7166287606783766e-06,5,1.5711357391660356e-06,0
1.5711357391660356e-06,15,1.3827502104195559e-06,0
1.3827502104195559e-06,11,1.27202282526927e-06,0
1.27202282526927e-06,1,1.2630050106943402e-06,0
1.2630050106943402e-06,7,1.184686044772425e-06,0
1.184686044772425e-06,4,1.1749873252009292e-06,0
1.1749873252009292e-06,13,1.0155793006234833e-06,0
1.0155793006234833e-06,6,9.337563495099776e-07,1
14.045744219139378,5,4.715949434216415,0
4.715949434216415,15,3.4539398435086603,0
3.4539398435086603,3,3.4105337535617544,0
3.4105337535617544,16,3.0524966640420454,0
3.0524966640420454,18,2.8049875362762036,0
2.8049875362762036,12,2.689739788452628,0
2.689739788452628,14,2.5882145066808726,0
2.5882145066808726,14,2.509000399212179,0
2.509000399212179,19,2.3371054105181757,0
2.3371054105181757,7,2.2782888530638368,0
2.2782888530638368,4,2.265916444523472,0
2.265916444523472,10,2.186067208098331,0
2.186067208098331,11,2.1078944168242044,0
2.1078944168242044,4,2.097518665042181,0
2.097518665042181,12,1.9712968568251563,0
1.9712968568251563,1,1.961491447005132,0
1.961491447005132,18,1.7142045087502935,0
1.7142045087502935,6,1.6251235369146726,0
1.6251235369146726,1,1.6200710071619595,0
1.6200710071619595,3,1.6022786404902754,0
1.6022786404902754,5,1.5793480913449531,0
1.5793480913449531,6,1.5565081147480924,0
1.5565081147480924,1,1.5528450502650373,0
1.5528450502650373,6,1.5376337716095012,0
1.5376337716095012,4,1.5279658674529628,0
1.5279658674529628,8,1.1665896417281914,0
1.1665896417281914,8,0.917899782314977,0
0.917899782314977,7,0.890173687758349,0
0.890173687758349,7,0.8755666963107317,0
0.8755666963107317,2,0.871973760331147,0
0.871973760331147,1,0.8713848655473146,0
0.8713848655473146,4,0.8628259856084447,0
0.8628259856084447,15,0.20827628535235024,0
0.20827628535235024,19,0.05871065692947099,0
